,Time,Estado,Edicao,Pontos,Jogos,Vitorias,Empates,Derrotas,Gols_Pro,Gols_Contra,Saldo_Gols,%_Aproveitamento
0,América-MG,MG,2011,37,38,8,13,17,51,69,-18,32.46
1,América-MG,MG,2016,28,38,7,7,24,23,58,-35,24.56
2,América-MG,MG,2018,40,38,10,10,18,30,47,-17,35.09
3,América-MG,MG,2021,53,38,13,14,11,41,37,4,46.49
4,América-RN,RN,2007,17,38,4,5,29,24,80,-56,14.91
5,Athletico-PR,PR,2021,47,38,13,8,17,41,45,-4,41.23
6,Athletico-PR,PR,2020,53,38,15,8,15,38,36,2,46.49
7,Athletico-PR,PR,2019,64,38,18,10,10,51,32,19,56.14
8,Athletico-PR,PR,2018,57,38,16,9,13,54,37,17,50.0
9,Athletico-PR,PR,2016,57,38,17,6,15,38,32,6,50.0
10,Athletico-PR,PR,2015,51,38,14,9,15,43,48,-5,44.74
11,Athletico-PR,PR,2014,54,38,15,9,14,43,42,1,47.37
12,Athletico-PR,PR,2013,64,38,18,10,10,65,49,16,56.14
13,Athletico-PR,PR,2017,51,38,14,9,15,45,43,2,44.74
14,Athletico-PR,PR,2010,60,38,17,9,12,43,45,-2,52.63
15,Athletico-PR,PR,2009,48,38,13,9,16,42,49,-7,42.11
16,Athletico-PR,PR,2008,45,38,12,9,17,45,54,-9,39.47
17,Athletico-PR,PR,2007,54,38,14,12,12,51,50,1,47.37
18,Athletico-PR,PR,2006,48,38,13,9,16,61,62,-1,42.11
19,Athletico-PR,PR,2005,61,42,18,7,17,76,67,9,48.41
20,Athletico-PR,PR,2004,86,46,25,11,10,93,56,37,62.32
21,Athletico-PR,PR,2003,61,46,17,10,19,66,72,-6,44.2
22,Athletico-PR,PR,2011,41,38,10,11,17,38,55,-17,35.96
23,Atlético-GO,GO,2021,53,38,13,14,11,33,36,-3,46.49
24,Atlético-GO,GO,2020,50,38,12,14,12,40,45,-5,43.86
25,Atlético-GO,GO,2017,36,38,9,9,20,38,56,-18,31.58
26,Atlético-GO,GO,2012,30,38,7,9,22,37,67,-30,26.32
27,Atlético-GO,GO,2010,42,38,11,9,18,51,57,-6,36.84
28,Atlético-GO,GO,2011,48,38,12,12,14,50,45,5,42.11
29,Atlético-MG,MG,2014,62,38,17,11,10,51,38,13,54.39
30,Atlético-MG,MG,2021,84,38,26,6,6,67,34,33,73.68
31,Atlético-MG,MG,2020,68,38,20,8,10,64,45,19,59.65
32,Atlético-MG,MG,2019,48,38,13,9,16,45,49,-4,42.11
33,Atlético-MG,MG,2018,59,38,17,8,13,56,43,13,51.75
34,Atlético-MG,MG,2017,54,38,14,12,12,52,49,3,47.37
35,Atlético-MG,MG,2016,62,37,17,11,9,61,50,11,55.86
36,Atlético-MG,MG,2015,69,38,21,6,11,65,47,18,60.53
37,Atlético-MG,MG,2013,57,38,15,12,11,49,38,11,50.0
38,Atlético-MG,MG,2011,45,38,13,6,19,50,60,-10,39.47
39,Atlético-MG,MG,2010,45,38,13,6,19,52,64,-12,39.47
40,Atlético-MG,MG,2009,56,38,16,8,14,55,56,-1,49.12
41,Atlético-MG,MG,2008,48,38,12,12,14,50,61,-11,42.11
42,Atlético-MG,MG,2007,55,38,15,10,13,63,51,12,48.25
43,Atlético-MG,MG,2005,47,42,13,8,21,54,59,-5,37.3
44,Atlético-MG,MG,2004,53,46,12,17,17,60,66,-6,38.41
45,Atlético-MG,MG,2003,72,46,19,15,12,76,62,14,52.17
46,Atlético-MG,MG,2012,72,38,20,12,6,64,37,27,63.16
47,Avaí,SC,2019,20,38,3,11,24,18,62,-44,17.54
48,Avaí,SC,2017,43,38,10,13,15,29,48,-19,37.72
49,Avaí,SC,2010,43,38,11,10,17,49,58,-9,37.72
50,Avaí,SC,2011,31,38,7,10,21,45,75,-30,27.19
51,Avaí,SC,2009,57,38,15,12,11,61,52,9,50.0
52,Avaí,SC,2015,42,38,11,9,18,38,60,-22,36.84
53,Bahia,BA,2019,49,38,12,13,13,44,43,1,42.98
54,Bahia,BA,2021,43,38,11,10,17,42,51,-9,37.72
55,Bahia,BA,2020,44,38,12,8,18,48,59,-11,38.6
56,Bahia,BA,2018,48,38,12,12,14,39,41,-2,42.11
57,Bahia,BA,2011,46,38,11,13,14,43,49,-6,40.35
58,Bahia,BA,2014,37,38,9,10,19,31,43,-12,32.46
59,Bahia,BA,2013,48,38,12,12,14,37,45,-8,42.11
60,Bahia,BA,2012,47,38,11,14,13,37,41,-4,41.23
61,Bahia,BA,2003,46,46,12,10,24,59,92,-33,33.33
62,Bahia,BA,2017,50,38,13,11,14,50,48,2,43.86
63,Botafogo,RJ,2014,34,38,9,7,22,31,48,-17,29.82
64,Botafogo,RJ,2020,27,38,5,12,21,32,62,-30,23.68
65,Botafogo,RJ,2019,43,38,13,4,21,31,45,-14,37.72
66,Botafogo,RJ,2018,51,38,13,12,13,38,46,-8,44.74
67,Botafogo,RJ,2017,53,38,14,11,13,45,42,3,46.49
68,Botafogo,RJ,2016,59,38,17,8,13,43,39,4,51.75
